Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code,COM,TYP_IRIS,MODIF_IRIS,LAB_IRIS,P19_POP
route de Desvres,3.0,62830,62830002,50.6390729,1.7593185,E85,Samer,0.5872444444444445,627730000,62773,Z,0,5,4666.0
route de Desvres,5.0,62830,62830002,50.6390729,1.7593185,E10,Samer,1.4377710843373492,627730000,62773,Z,0,5,4666.0
 Avenue James de Rothschild,1.0,77164,77164001,48.82682,2.70427,Gazole,FERRIèRES-EN-BRIE,1.456794117647059,771810000,77181,Z,0,5,3768.0
 Avenue James de Rothschild,5.0,77164,77164001,48.82682,2.70427,E10,FERRIèRES-EN-BRIE,1.487780303030303,771810000,77181,Z,0,5,3768.0
 Avenue James de Rothschild,6.0,77164,77164001,48.82682,2.70427,SP98,FERRIèRES-EN-BRIE,1.5552919708029196,771810000,77181,Z,0,5,3768.0
 Avenue Jean Falconnier,1.0,1350,1350001,45.84775,5.78468,Gazole,CULOZ,1.44025,011380000,1138,Z,0,5,3004.0
 Avenue Jean Falconnier,2.0,1350,1350001,45.84775,5.78468,SP95,CULOZ,1.5131666666666668,011380000,1138,Z,0,5,3004.0
 Avenue Jean Falconnier,6.0,1350,1350001,45.84775,5.78468,SP98,CULOZ,1.5602631578947368,011380000,1138,Z,0,5,3004.0
PARC D'ACTIVITE DES FOURS,1.0,1350,1350003,45.849,5.764,Gazole,Béon,1.4172888888888888,011380000,1138,Z,0,5,3004.0
PARC D'ACTIVITE DES FOURS,5.0,1350,1350003,45.849,5.764,E10,Béon,1.4449166666666668,011380000,1138,Z,0,5,3004.0
PARC D'ACTIVITE DES FOURS,6.0,1350,1350003,45.849,5.764,SP98,Béon,1.5132203389830508,011380000,1138,Z,0,5,3004.0
 Avenue Jean Moulin,1.0,87400,87400003,45.83253,1.49798,Gazole,SAINT-LéONARD-DE-NOBLAT,1.45004,871610101,87161,H,0,4,2373.0
 Avenue Jean Moulin,2.0,87400,87400003,45.83253,1.49798,SP95,SAINT-LéONARD-DE-NOBLAT,1.5554583333333332,871610101,87161,H,0,4,2373.0
