Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code
CHEMIN DEPARTEMENTAL 70 BP47,1.0,62470,62470004,50.493,2.488,Gazole,Calonne-Ricouart,1.8438219178082191,621940101
CHEMIN DEPARTEMENTAL 70 BP47,5.0,62470,62470004,50.493,2.488,E10,Calonne-Ricouart,1.913883116883117,621940101
CHEMIN DEPARTEMENTAL 70 BP47,6.0,62470,62470004,50.493,2.488,SP98,Calonne-Ricouart,2.018924528301887,621940101
CHEMIN DEPARTEMENTAL 9,1.0,28330,28330002,48.144,0.972,Gazole,LA BAZOCHE-GOUET,1.7843636363636364,280270000
CHEMIN DEPARTEMENTAL 9,5.0,28330,28330002,48.144,0.972,E10,LA BAZOCHE-GOUET,1.8433488372093023,280270000
CHEMIN DEPARTEMENTAL 9,6.0,28330,28330002,48.144,0.972,SP98,LA BAZOCHE-GOUET,1.87785,280270000
CHEMIN DEPARTEMENTAL 937,1.0,2300,2300002,49.591,3.234,Gazole,AUTREVILLE,1.826367346938776,020410000
CHEMIN DEPARTEMENTAL 937,2.0,2300,2300002,49.591,3.234,SP95,AUTREVILLE,1.9168529411764703,020410000
CHEMIN DEPARTEMENTAL 937,6.0,2300,2300002,49.591,3.234,SP98,AUTREVILLE,1.929619047619048,020410000
CHEMIN DES ALLIX,1.0,45500,45500009,47.689488971453,2.6437480210887,Gazole,Gien,1.8027586206896555,451550301
CHEMIN DES ALLIX,2.0,45500,45500009,47.689488971453,2.6437480210887,SP95,Gien,1.904325,451550301
CHEMIN DES ALLIX,6.0,45500,45500009,47.689488971453,2.6437480210887,SP98,Gien,1.9305,451550301
CHEMIN DES NOYERS,1.0,38530,38530004,45.47,5.993,Gazole,Chapareillan,1.797798076923077,380750000
CHEMIN DES NOYERS,3.0,38530,38530004,45.47,5.993,E85,Chapareillan,1.045111111111111,380750000
CHEMIN DES NOYERS,5.0,38530,38530004,45.47,5.993,E10,Chapareillan,1.8619883720930237,380750000
CHEMIN DES NOYERS,6.0,38530,38530004,45.47,5.993,SP98,Chapareillan,1.923596153846154,380750000
CHEMIN DU CORNU parking LIDL,1.0,69210,69210007,45.8395919525,4.62323749249,Gazole,FLEURIEUX-SUR-L'ARBRESLE,1.7828227848101263,690860000
CHEMIN DU CORNU parking LIDL,2.0,69210,69210007,45.8395919525,4.62323749249,SP95,FLEURIEUX-SUR-L'ARBRESLE,1.892510638297872,690860000
"CHEMIN DU PONT DE LA FORGE,",1.0,37340,37340001,47.44,0.332,Gazole,SAVIGNé-SUR-LATHAN,1.805982456140351,372410000
"CHEMIN DU PONT DE LA FORGE,",5.0,37340,37340001,47.44,0.332,E10,SAVIGNé-SUR-LATHAN,1.841745098039216,372410000
"CHEMIN DU PONT DE LA FORGE,",6.0,37340,37340001,47.44,0.332,SP98,SAVIGNé-SUR-LATHAN,1.916234042553192,372410000
CHEMIN DU ROY,1.0,76940,76940001,49.4791071533,0.768094546353,Gazole,LA MAILLERAYE-SUR-SEINE,1.858375,764010000
CHEMIN DU ROY,2.0,76940,76940001,49.4791071533,0.768094546353,SP95,LA MAILLERAYE-SUR-SEINE,1.9396666666666669,764010000
CHEMIN DU ROY,6.0,76940,76940001,49.4791071533,0.768094546353,SP98,LA MAILLERAYE-SUR-SEINE,1.96,764010000
CHEMIN DU ROY D'ESPAGNE,1.0,13009,13009006,43.233,5.401,Gazole,MARSEILLE,1.7449235294117649,132090702
CHEMIN DU ROY D'ESPAGNE,3.0,13009,13009006,43.233,5.401,E85,MARSEILLE,1.0157,132090702
CHEMIN DU ROY D'ESPAGNE,5.0,13009,13009006,43.233,5.401,E10,MARSEILLE,1.7981461988304093,132090702
CHEMIN DU ROY D'ESPAGNE,6.0,13009,13009006,43.233,5.401,SP98,MARSEILLE,1.8714328358208956,132090702
CHEMIN DU TUCAT,1.0,40400,40400005,43.8229686,-0.84894289,Gazole,BEGAAR,1.7856461538461537,400310000
CHEMIN DU TUCAT,2.0,40400,40400005,43.8229686,-0.84894289,SP95,BEGAAR,1.870851851851852,400310000
CHEMIN DU TUCAT,5.0,40400,40400005,43.8229686,-0.84894289,E10,BEGAAR,1.8325555555555555,400310000
CHEMIN DU TUCAT,6.0,40400,40400005,43.8229686,-0.84894289,SP98,BEGAAR,1.8939666666666668,400310000
