Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code,DISP_TP6020,DISP_Q120,DISP_MED20
 Boulevard Auguste Comte,5.0,24100,24100007,44.84832,0.49248,E10,BERGERAC,1.899,240370101,"17,5",15280,20820
 Boulevard Auguste Comte,6.0,24100,24100007,44.84832,0.49248,SP98,BERGERAC,1.949470588235294,240370101,"17,5",15280,20820
RUE DES DOCTEURS VIZERIE,1.0,24100,24100014,44.85,0.493,Gazole,BERGERAC,1.7684430379746834,240370101,"17,5",15280,20820
RUE DES DOCTEURS VIZERIE,3.0,24100,24100014,44.85,0.493,E85,BERGERAC,1.046638888888889,240370101,"17,5",15280,20820
RUE DES DOCTEURS VIZERIE,4.0,24100,24100014,44.85,0.493,GPLc,BERGERAC,0.9290000000000002,240370101,"17,5",15280,20820
RUE DES DOCTEURS VIZERIE,5.0,24100,24100014,44.85,0.493,E10,BERGERAC,1.8377894736842104,240370101,"17,5",15280,20820
RUE DES DOCTEURS VIZERIE,6.0,24100,24100014,44.85,0.493,SP98,BERGERAC,1.9394475308641972,240370101,"17,5",15280,20820
Route de Sainte Alvère,1.0,24100,24100008,44.8533552754,0.513779259572,Gazole,BERGERAC,1.7988194444444443,240370101,"17,5",15280,20820
Route de Sainte Alvère,2.0,24100,24100008,44.8533552754,0.513779259572,SP95,BERGERAC,1.8974,240370101,"17,5",15280,20820
Route de Sainte Alvère,5.0,24100,24100008,44.8533552754,0.513779259572,E10,BERGERAC,1.8425,240370101,"17,5",15280,20820
Route de Sainte Alvère,6.0,24100,24100008,44.8533552754,0.513779259572,SP98,BERGERAC,1.922857142857143,240370101,"17,5",15280,20820
 Boulevard Berthelot,1.0,63000,63000016,45.78019,3.07141,Gazole,CLERMONT-FERRAND,1.8372317880794704,631131701,"17,2",15930,21860
 Boulevard Berthelot,5.0,63000,63000016,45.78019,3.07141,E10,CLERMONT-FERRAND,1.881233766233766,631131701,"17,2",15930,21860
 Boulevard Berthelot,6.0,63000,63000016,45.78019,3.07141,SP98,CLERMONT-FERRAND,1.9685808383233527,631131701,"17,2",15930,21860
 Boulevard Camille Blanc,1.0,34200,34200001,43.40721,3.66917,Gazole,SèTE,1.811655555555556,343010702,"13,1",17450,24840
 Boulevard Camille Blanc,2.0,34200,34200001,43.40721,3.66917,SP95,SèTE,1.878787878787879,343010702,"13,1",17450,24840
 Boulevard Camille Blanc,3.0,34200,34200001,43.40721,3.66917,E85,SèTE,1.028063829787234,343010702,"13,1",17450,24840
 Boulevard Camille Blanc,5.0,34200,34200001,43.40721,3.66917,E10,SèTE,1.8667125,343010702,"13,1",17450,24840
 Boulevard Camille Blanc,6.0,34200,34200001,43.40721,3.66917,SP98,SèTE,1.9299647058823528,343010702,"13,1",17450,24840
79 boulevard camille,1.0,34200,34200012,43.408,3.67,Gazole,SETE,1.858288888888889,343010702,"13,1",17450,24840
79 boulevard camille,3.0,34200,34200012,43.408,3.67,E85,SETE,1.1556666666666666,343010702,"13,1",17450,24840
79 boulevard camille,5.0,34200,34200012,43.408,3.67,E10,SETE,1.8985,343010702,"13,1",17450,24840
79 boulevard camille,6.0,34200,34200012,43.408,3.67,SP98,SETE,1.9784545454545457,343010702,"13,1",17450,24840
 Boulevard Lacaussade,1.0,65000,65000009,43.23426,0.05428,Gazole,TARBES,1.888,654400701,"24,4",13560,17990
 Boulevard Lacaussade,2.0,65000,65000009,43.23426,0.05428,SP95,TARBES,1.945,654400701,"24,4",13560,17990
 Boulevard Lacaussade,6.0,65000,65000009,43.23426,0.05428,SP98,TARBES,1.9873333333333327,654400701,"24,4",13560,17990
 Boulevard Paul Langevin,1.0,44220,44220005,47.21363,-1.72222,Gazole,COUERON,1.7912702702702703,440470103,"6,9",18880,23800
 Boulevard Paul Langevin,2.0,44220,44220005,47.21363,-1.72222,SP95,COUERON,1.89476,440470103,"6,9",18880,23800
