Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur
route Salies,1.0,31260,31260001,4308871.0,95132.0,Gazole,Mane,1.7647319587628867
route Salies,3.0,31260,31260001,4308871.0,95132.0,E85,Mane,1.0453571428571429
route Salies,5.0,31260,31260001,4308871.0,95132.0,E10,Mane,1.8176987951807229
route Salies,6.0,31260,31260001,4308871.0,95132.0,SP98,Mane,1.8967058823529412
route d#039;estaing,1.0,12500,12500004,4452300.0,276300.0,Gazole,Espalion,1.7937974683544304
route d#039;estaing,2.0,12500,12500004,4452300.0,276300.0,SP95,Espalion,1.8667833333333335
route d#039;estaing,3.0,12500,12500004,4452300.0,276300.0,E85,Espalion,1.0960833333333333
route d#039;estaing,5.0,12500,12500004,4452300.0,276300.0,E10,Espalion,1.8471639344262296
route d#039;estaing,6.0,12500,12500004,4452300.0,276300.0,SP98,Espalion,1.9329272727272728
route d'aix en provence - lot. les prés verts,1.0,84120,84120007,4367900.0,549700.0,Gazole,Pertuis,1.7604233128834357
route d'aix en provence - lot. les prés verts,2.0,84120,84120007,4367900.0,549700.0,SP95,Pertuis,1.8817961783439492
route d'aix en provence - lot. les prés verts,3.0,84120,84120007,4367900.0,549700.0,E85,Pertuis,1.0363355704697985
route d'aix en provence - lot. les prés verts,5.0,84120,84120007,4367900.0,549700.0,E10,Pertuis,1.8228037974683544
route d'aix en provence - lot. les prés verts,6.0,84120,84120007,4367900.0,549700.0,SP98,Pertuis,1.9374812030075188
route d'avignon,1.0,13150,13150001,4381100.0,466600.0,Gazole,TARASCON,1.7913238095238095
route d'avignon,5.0,13150,13150001,4381100.0,466600.0,E10,TARASCON,1.8449176470588238
route d'avignon,6.0,13150,13150001,4381100.0,466600.0,SP98,TARASCON,1.935408450704225
route de Bagnères,1.0,65310,65310001,4320600.0,7200.0,Gazole,LALOUBERE,1.8103026315789474
route de Bagnères,4.0,65310,65310001,4320600.0,7200.0,GPLc,LALOUBERE,1.125590909090909
