ID,Latitude,Longitude,CodePostal,Adresse,Ville,PrixNom,PrixID,PrixValeur.mean
28400004,4833133.6999283,80520.164752954,28400,"Rue de la Bruy̬re, centre commercial du Percue",Nogent-le-Rotrou,SP98,6,1534.408163265306
28400005,4830636.693,80848.721,28400,Route du Mans RN23,Nogent-le-Rotrou,Gazole,1,1514.9176829268292
28400005,4830636.693,80848.721,28400,Route du Mans RN23,Nogent-le-Rotrou,E10,5,1565.6432926829268
28400005,4830636.693,80848.721,28400,Route du Mans RN23,Nogent-le-Rotrou,SP98,6,1675.6432926829268
28400006,4833233.34,83231.72,28400,Avenue de Paris,MARGON,,,
28403001,4832767,80313,28400,Route d'Alen̤on,Nogent-le-Rotrou,Gazole,1,1535.551724137931
28403001,4832767,80313,28400,Route d'Alen̤on,Nogent-le-Rotrou,E10,5,1592.5849056603774
28410002,4878200,143400,28410,Le Bouton Brissard,ABONDANT,Gazole,1,1449.9375
28410002,4878200,143400,28410,Le Bouton Brissard,ABONDANT,SP95,2,1533.375
28410002,4878200,143400,28410,Le Bouton Brissard,ABONDANT,SP98,6,1563.75
28420001,4826100.1765,91270.6192178,28480,id Brieure,VICH̬RES,Gazole,1,1563
28420001,4826100.1765,91270.6192178,28480,id Brieure,VICH̬RES,E10,5,1627.875
28420001,4826100.1765,91270.6192178,28480,id Brieure,VICH̬RES,SP98,6,1722.0666666666666
28480001,4831252.77,99060.06,28480,7 rue de l'̩tang,Thiron-Gardais,Gazole,1,1560
28480001,4831252.77,99060.06,28480,7 rue de l'̩tang,Thiron-Gardais,SP95,2,1648.75
28480001,4831252.77,99060.06,28480,7 rue de l'̩tang,Thiron-Gardais,SP98,6,1690.625
28500001,4871700,136900,28500,C C PLEIN SUD - RN 154,Vernouillet,Gazole,1,1409.3182957393483
28500001,4871700,136900,28500,C C PLEIN SUD - RN 154,Vernouillet,E10,5,1451.2766497461928
28500001,4871700,136900,28500,C C PLEIN SUD - RN 154,Vernouillet,SP98,6,1530.5833333333333
28500003,4876002.91814,124036.584857,28500,RN 12 (COTE NORD),VERT-EN-DROUAIS,,,
28500004,4874793.34533,127127.462769,28500,RN 12 (COTE SUD),VERT-EN-DROUAIS,,,
28500005,4873200,134100,28500,2 Rue Louis Fauvel,Vernouillet,Gazole,1,1419.6060606060605
28500005,4873200,134100,28500,2 Rue Louis Fauvel,Vernouillet,E85,3,678.3939393939394
