ID;Latitude;Longitude;CodePostal;Adresse;Ville;PrixNom;PrixID;PrixValeur,mean;Colonne1
60700002;4930752;259195;60700;Rue Louis Pasteur;PONT-SAINTE-MAXENCE;SP95;2;1546,4;1,5464
60700002;4930752;259195;60700;Rue Louis Pasteur;PONT-SAINTE-MAXENCE;E10;5;1498,625;1,498625
60700002;4930752;259195;60700;Rue Louis Pasteur;PONT-SAINTE-MAXENCE;SP98;6;1599,285714;1,599285714
60700004;4930600;260400;60700;39 41 RUE DE LA REPUBLIQUE;Pont-Sainte-Maxence;Gazole;1;1423,311111;1,423311111
60700004;4930600;260400;60700;39 41 RUE DE LA REPUBLIQUE;Pont-Sainte-Maxence;E10;5;1501,844444;1,501844444
60700004;4930600;260400;60700;39 41 RUE DE LA REPUBLIQUE;Pont-Sainte-Maxence;SP98;6;1600,1;1,6001
60700005;4931700;260600;60700;avenue d'auvelais;pont sainte maxence;Gazole;1;1409,074074;1,409074074
60700005;4931700;260600;60700;avenue d'auvelais;pont sainte maxence;SP95;2;1539,866667;1,539866667
60700005;4931700;260600;60700;avenue d'auvelais;pont sainte maxence;E85;3;487;0,487
60700005;4931700;260600;60700;avenue d'auvelais;pont sainte maxence;E10;5;1489,736842;1,489736842
60700005;4931700;260600;60700;avenue d'auvelais;pont sainte maxence;SP98;6;1590,5;1,5905
60730002;4929011,784;220047,9484;60730;Centre Commercial du Ch̢teau;SAINTE-GENEVI̬VE;Gazole;1;1452;1,452
60730002;4929011,784;220047,9484;60730;Centre Commercial du Ch̢teau;SAINTE-GENEVI̬VE;E10;5;1518,892857;1,518892857
60730002;4929011,784;220047,9484;60730;Centre Commercial du Ch̢teau;SAINTE-GENEVI̬VE;SP98;6;1597,8;1,5978
60730004;4929000;220100;60730;180 route nationale 1;Sainte-Genevi̬ve;Gazole;1;1533,25;1,53325
60730004;4929000;220100;60730;180 route nationale 1;Sainte-Genevi̬ve;E10;5;1608,875;1,608875
